,0
2022-08-03,0.024848983740305683
2022-08-04,0.0007577367251231507
2022-08-05,-0.005468171202659422
2022-08-08,-0.0006767199308798288
2022-08-09,-0.005417296368333272
2022-08-10,0.02680852362450133
2022-08-11,-0.0068794183220681985
2022-08-12,0.023618776817414172
2022-08-15,0.001875219932145976
2022-08-16,-0.0030110280392052044
2022-08-17,-0.017876111364123388
2022-08-18,0.004488039535380525
2022-08-19,-0.02267084105520725
2022-08-22,-0.025821224016573847
2022-08-23,-0.002607135244229139
2022-08-24,-0.000609912841959185
2022-08-25,0.026155188141406275
2022-08-26,-0.05437548056436001
2022-08-29,-0.008625397012979019
2022-08-30,-0.0038969792464420357
2022-08-31,-0.00691476763631911
2022-09-01,0.012826399508084048
2022-09-02,-0.01691544726332142
2022-09-06,-0.01104156187773804
